"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"AAA","Anaa","Anaa","  "," ",-17.35,-145.50,"PF","French Polynesia","Australasia",823,
"AAB","Arrabury","Arrabury","QL","Queensland",-26.70,141.04,"AU","Australia","Australasia",802,
"AAC","Al Arish","Al Arish","  "," ",31.08,33.83,"EG","Egypt","Africa",591,
"AAD","Ad-Dabbah Airport","Ad-Dabbah","  "," ",18.05,30.95,"SD","Sudan","Africa",583,
"AAE","Les Salines ","Annaba","  "," ",36.82,7.81,"DZ","Algeria","Africa",500,
"AAF","Apalachicola Municipal Airport","Apalachicola","FL","Florida",29.73,-84.98,"US","United States","North America",33,
"AAG","Arapoti Airport","Arapoti","PR","Parana",-24.10,-49.79,"BR","Brazil","South America",316,
"AAH","Merzbrueck","Aachen","  "," ",50.75,6.13,"DE","Germany","Europe",429,"name changed from Aachen"
"AAI","Arraias Airport","Arraias","TO","Tocantins",-12.92,-46.93,"BR","Brazil","South America",316,
"AAJ","Cayana Airstrip","Awaradam","  "," ",3.90,-55.37,"SR","Suriname","South America",379,
"AAK","Aranuka Airport","Aranuka","  "," ",0.17,173.58,"KI","Kiribati","Australasia",824,
"AAL","Aalborg ","Aalborg","  "," ",57.09,9.85,"DK","Denmark","Europe",419,
"AAM","Mala Mala ","Mala Mala","  "," ",-24.81,31.54,"ZA","South Africa","Africa",562,
"AAN","Al Ain","Al Ain","  "," ",24.26,55.61,"AE","United Arab Emirates","Middle East",678,
"AAO","Anaco ","Anaco","  "," ",9.43,-64.46,"VE","Venezuela","South America",388,
"AAP","Andrau Airpark","Houston","TX","Texas",29.83,-95.67,"US","United States","North America",74,
"AAQ","Anapa","Anapa","SF","Southern Federal District",44.90,37.32,"RU","Russian Federation","Europe",475,
"AAR","Tirstrup","Aarhus","  "," ",56.31,10.62,"DK","Denmark","Europe",419,
"AAS","Apalapsili","Apalapsili","  "," ",-3.92,139.25,"ID","Indonesia","Asia",732,
"AAT","Altay ","Altay","  "," ",43.93,89.50,"CN","China","Asia",713,
"AAU","Asau","Asau","  "," ",-13.52,-172.65,"WS","Western Samoa","Australasia",892,
"AAV","Alah Airport","Alah","  "," ",6.33,124.77,"PH","Philippines","Asia",766,
"AAW","Abbottabad Airport","Abbottabad","  "," ",34.20,73.25,"PK","Pakistan","Asia",764,
"AAX","Araxa ","Araxa","MG","Minas Gerais",-19.57,-46.93,"BR","Brazil","South America",316,
"AAY","Al Ghaydah, Yemen","Al Ghaydah, Yemen","  "," ",16.20,52.18,"YE","Yemen","Middle East",694,
"AAZ","Quetzaltenango","Quetzaltenango","  "," ",14.87,-91.50,"GT","Guatemala","Central America",127,
"ABA","Abakan","Abakan","IF","Siberian Federal District",53.72,91.43,"RU","Russian Federation","Asia",475,
"ABB","Royal Air Force Station","Abingdon","EN","England",51.67,-1.28,"GB","United Kingdom","Europe",493,
"ABC","Albacete Airport","Albacete","  "," ",38.95,-1.86,"ES","Spain","Europe",482,
"ABD","Abadan Intl","Abadan, Iran","  "," ",30.37,48.23,"IR","Iran","Middle East",632,
"ABE","Allentown/Bethlehem/Ea","Allentown","PA","Pennsylvania",40.65,-75.44,"US","United States","North America",23,
"ABF","Abaiang Airport","Abaiang","  "," ",1.67,173.30,"KI","Kiribati","Australasia",824,
"ABG","Abingdon Airport","Abingdon","QL","Queensland",-17.67,143.20,"AU","Australia","Australasia",802,
"ABH","Alpha ","Alpha","QL","Queensland",-23.70,146.58,"AU","Australia","Australasia",802,
"ABI","Abilene Regional Airport","Abilene","TX","Texas",32.41,-99.68,"US","United States","North America",74,
"ABJ","Felix Houphouet Boigny","Abidjan","  "," ",5.26,-3.93,"CI","Ivory Coast (Cote d'Ivoire)","Africa",533,
"ABK","Kabri Dar ","Kabri Dar","  "," ",6.73,44.27,"ET","Ethiopia","Africa",522,
"ABL","Ambler River","Ambler","AK","Alaska",67.09,-157.85,"US","United States","North America",1,
"ABM","Bamaga","Bamaga","QL","Queensland",-10.95,142.40,"AU","Australia","Australasia",802,
"ABN","Albina","Albina","  "," ",5.48,-54.05,"SR","Suriname","South America",379,
"ABO","Aboisso Airport","Aboisso","  "," ",5.43,-3.22,"CI","Ivory Coast (Cote d'Ivoire)","Africa",533,
"ABP","Atkamba Airport ","Atkamba","  "," ",-6.07,141.10,"PG","Papua New Guinea","Australasia",804,
"ABQ","Albuquerque Intl","Albuquerque","NM","New Mexico",35.04,-106.61,"US","United States","North America",86,
"ABR","Aberdeen Municipal","Aberdeen","SD","South Dakota",45.45,-98.43,"US","United States","North America",67,
"ABS","Abu Simbel","Abu Simbel","  "," ",22.37,31.62,"EG","Egypt","Africa",591,
"ABT","Al-Aqiq ","Al-Baha","  "," ",20.30,41.63,"SA","Saudi Arabia","Middle East",670,
"ABU","Atambua ","Atambua","  "," ",-9.33,124.90,"ID","Indonesia","Asia",732,
"ABV","Abuja International ","Abuja","  "," ",9.01,7.27,"NG","Nigeria","Africa",555,
"ABW","Abau","Abau","  "," ",-10.17,148.70,"PG","Papua New Guinea","Australasia",804,
"ABX","Albury","Albury","NS","New South Wales",-36.07,146.98,"AU","Australia","Australasia",802,
"ABY","Dougherty County","Albany","GA","Georgia",31.53,-84.20,"US","United States","North America",34,
"ABZ","Dyce","Aberdeen","SC","Scotland",57.20,-2.20,"GB","United Kingdom","Europe",493,
"ACA","Juan Alvarez Intl ","Acapulco","  "," ",16.76,-99.77,"MX","Mexico","North America",148,
"ACB","Antrim County Airport","Bellaire","MI","Michigan",44.98,-85.22,"US","United States","North America",43,
"ACC","Kotoka","Accra","  "," ",5.60,-0.17,"GH","Ghana","Africa",529,
"ACD","Acandi Airport","Acandi","  "," ",8.52,-77.30,"CO","Colombia","South America",327,
"ACE","Lanzarote ","Lanzarote","  "," ",28.94,-13.60,"ES","Spain","Europe",482,
"ACH","St Gallen-Altenrhein Airport","Altenrhein","  "," ",47.49,9.56,"CH","Switzerland","Europe",486,"name changed from Sankt Gallen Altenrhein in Jun-09; name changed from Altenrhein in Aug-08"
"ACI","Alderney","Alderney","CI","Channel Islands",49.71,-2.22,"GB","United Kingdom","Europe",493,
"ACJ","Anuradhapura Airport","Anuradhapura","  "," ",8.35,80.38,"LK","Sri Lanka","Asia",711,
"ACK","Nantucket Memorial","Nantucket","MA","Massachusetts",41.26,-70.06,"US","United States","North America",13,
"ACL","Aguaclara ","Aguaclara","  "," ",4.75,-73.00,"CO","Colombia","South America",327,
"ACM","Arica ","Arica","  "," ",-2.13,-71.78,"CO","Colombia","South America",327,
"ACN","Ciudad Acuna","Ciudad Acuna","  "," ",29.30,-100.92,"MX","Mexico","North America",148,
"ACO","Ascona Airport","Ascona","  "," ",46.16,8.78,"CH","Switzerland","Europe",486,"location no longer in service"
"ACP","Sahand Airport","Sahand","  "," ",37.35,46.15,"IR","Iran","Middle East",632,
"ACR","Araracuara Airport","Araracuara","  "," ",-0.38,-72.30,"CO","Colombia","South America",327,
"ACS","Achinsk","Achinsk","IF","Siberian Federal District",56.27,90.57,"RU","Russian Federation","Asia",475,
"ACT","Waco Municipal","Waco","TX","Texas",31.61,-97.23,"US","United States","North America",74,
